caseId,docketId,caseIssuesId,voteId,dateDecision,decisionType,usCite,sctCite,ledCite,lexisCite,term,naturalCourt,chief,docket,caseName,dateArgument,dateRearg,petitioner,petitionerState,respondent,respondentState,jurisdiction,adminAction,adminActionState,threeJudgeFdc,caseOrigin,caseOriginState,caseSource,caseSourceState,lcDisagreement,certReason,lcDisposition,lcDispositionDirection,declarationUncon,caseDisposition,caseDispositionUnusual,partyWinning,precedentAlteration,voteUnclear,issue,issueArea,decisionDirection,decisionDirectionDissent,authorityDecision1,authorityDecision2,lawType,lawSupp,lawMinor,majOpinWriter,majOpinAssigner,splitVote,majVotes,minVotes,justice,justiceName,vote,opinion,direction,majority,firstAgreement,secondAgreement
1988-068,1988-068-01,1988-068-01-01,1988-068-01-01-01-01,4/3/1989,1,490 U.S. 30,109 S. Ct. 1597,104 L. Ed. 2d 29,1989 U.S. LEXIS 1791,1988,1603,Rehnquist,87-980,MISSISSIPPI BAND OF CHOCTAW INDIANS v. HOLYFIELD et al.,1/11/1989,,170,,202,,1,,,0,302,29,300,29,0,5,2,1,1,4,0,1,0,0,20160,2,2,0,4,,6,600,25 U.S.C. § 1911,92,92,1,6,3,98,TMarshall,1,1,2,2,,
1988-068,1988-068-01,1988-068-01-01,1988-068-01-01-01-02,4/3/1989,1,490 U.S. 30,109 S. Ct. 1597,104 L. Ed. 2d 29,1989 U.S. LEXIS 1791,1988,1603,Rehnquist,87-980,MISSISSIPPI BAND OF CHOCTAW INDIANS v. HOLYFIELD et al.,1/11/1989,,170,,202,,1,,,0,302,29,300,29,0,5,2,1,1,4,0,1,0,0,20160,2,2,0,4,,6,600,25 U.S.C. § 1911,92,92,1,6,3,92,WJBrennan,1,2,2,2,,
1988-068,1988-068-01,1988-068-01-01,1988-068-01-01-01-03,4/3/1989,1,490 U.S. 30,109 S. Ct. 1597,104 L. Ed. 2d 29,1989 U.S. LEXIS 1791,1988,1603,Rehnquist,87-980,MISSISSIPPI BAND OF CHOCTAW INDIANS v. HOLYFIELD et al.,1/11/1989,,170,,202,,1,,,0,302,29,300,29,0,5,2,1,1,4,0,1,0,0,20160,2,2,0,4,,6,600,25 U.S.C. § 1911,92,92,1,6,3,95,BRWhite,1,1,2,2,,
1988-068,1988-068-01,1988-068-01-01,1988-068-01-01-01-04,4/3/1989,1,490 U.S. 30,109 S. Ct. 1597,104 L. Ed. 2d 29,1989 U.S. LEXIS 1791,1988,1603,Rehnquist,87-980,MISSISSIPPI BAND OF CHOCTAW INDIANS v. HOLYFIELD et al.,1/11/1989,,170,,202,,1,,,0,302,29,300,29,0,5,2,1,1,4,0,1,0,0,20160,2,2,0,4,,6,600,25 U.S.C. § 1911,92,92,1,6,3,100,HABlackmun,1,1,2,2,,
1988-068,1988-068-01,1988-068-01-01,1988-068-01-01-01-05,4/3/1989,1,490 U.S. 30,109 S. Ct. 1597,104 L. Ed. 2d 29,1989 U.S. LEXIS 1791,1988,1603,Rehnquist,87-980,MISSISSIPPI BAND OF CHOCTAW INDIANS v. HOLYFIELD et al.,1/11/1989,,170,,202,,1,,,0,302,29,300,29,0,5,2,1,1,4,0,1,0,0,20160,2,2,0,4,,6,600,25 U.S.C. § 1911,92,92,1,6,3,102,WHRehnquist,2,1,1,1,103,
1988-068,1988-068-01,1988-068-01-01,1988-068-01-01-01-06,4/3/1989,1,490 U.S. 30,109 S. Ct. 1597,104 L. Ed. 2d 29,1989 U.S. LEXIS 1791,1988,1603,Rehnquist,87-980,MISSISSIPPI BAND OF CHOCTAW INDIANS v. HOLYFIELD et al.,1/11/1989,,170,,202,,1,,,0,302,29,300,29,0,5,2,1,1,4,0,1,0,0,20160,2,2,0,4,,6,600,25 U.S.C. § 1911,92,92,1,6,3,103,JPStevens,2,2,1,1,,
1988-068,1988-068-01,1988-068-01-01,1988-068-01-01-01-07,4/3/1989,1,490 U.S. 30,109 S. Ct. 1597,104 L. Ed. 2d 29,1989 U.S. LEXIS 1791,1988,1603,Rehnquist,87-980,MISSISSIPPI BAND OF CHOCTAW INDIANS v. HOLYFIELD et al.,1/11/1989,,170,,202,,1,,,0,302,29,300,29,0,5,2,1,1,4,0,1,0,0,20160,2,2,0,4,,6,600,25 U.S.C. § 1911,92,92,1,6,3,104,SDOConnor,1,1,2,2,,
1988-068,1988-068-01,1988-068-01-01,1988-068-01-01-01-08,4/3/1989,1,490 U.S. 30,109 S. Ct. 1597,104 L. Ed. 2d 29,1989 U.S. LEXIS 1791,1988,1603,Rehnquist,87-980,MISSISSIPPI BAND OF CHOCTAW INDIANS v. HOLYFIELD et al.,1/11/1989,,170,,202,,1,,,0,302,29,300,29,0,5,2,1,1,4,0,1,0,0,20160,2,2,0,4,,6,600,25 U.S.C. § 1911,92,92,1,6,3,105,AScalia,1,1,2,2,,
1988-068,1988-068-01,1988-068-01-01,1988-068-01-01-01-09,4/3/1989,1,490 U.S. 30,109 S. Ct. 1597,104 L. Ed. 2d 29,1989 U.S. LEXIS 1791,1988,1603,Rehnquist,87-980,MISSISSIPPI BAND OF CHOCTAW INDIANS v. HOLYFIELD et al.,1/11/1989,,170,,202,,1,,,0,302,29,300,29,0,5,2,1,1,4,0,1,0,0,20160,2,2,0,4,,6,600,25 U.S.C. § 1911,92,92,1,6,3,106,AMKennedy,2,1,1,1,103,
1988-069,1988-069-01,1988-069-01-01,1988-069-01-01-01-01,4/3/1989,1,490 U.S. 66,109 S. Ct. 1617,104 L. Ed. 2d 58,1989 U.S. LEXIS 1738,1988,1603,Rehnquist,87-453,"AMERADA HESS CORP. et al. v. DIRECTOR, DIVISION OF TAXATION, NEW JERSEY DEPARTMENT OF THE TREASURY",11/29/1988,,198,,7,35,2,117,35,0,302,35,300,35,0,1,3,2,1,2,0,0,0,0,80100,8,2,0,2,,1,111,,100,102,1,8,0,98,TMarshall,1,1,2,2,,
1988-069,1988-069-01,1988-069-01-01,1988-069-01-01-01-02,4/3/1989,1,490 U.S. 66,109 S. Ct. 1617,104 L. Ed. 2d 58,1989 U.S. LEXIS 1738,1988,1603,Rehnquist,87-453,"AMERADA HESS CORP. et al. v. DIRECTOR, DIVISION OF TAXATION, NEW JERSEY DEPARTMENT OF THE TREASURY",11/29/1988,,198,,7,35,2,117,35,0,302,35,300,35,0,1,3,2,1,2,0,0,0,0,80100,8,2,0,2,,1,111,,100,102,1,8,0,92,WJBrennan,1,1,2,2,,
1988-069,1988-069-01,1988-069-01-01,1988-069-01-01-01-03,4/3/1989,1,490 U.S. 66,109 S. Ct. 1617,104 L. Ed. 2d 58,1989 U.S. LEXIS 1738,1988,1603,Rehnquist,87-453,"AMERADA HESS CORP. et al. v. DIRECTOR, DIVISION OF TAXATION, NEW JERSEY DEPARTMENT OF THE TREASURY",11/29/1988,,198,,7,35,2,117,35,0,302,35,300,35,0,1,3,2,1,2,0,0,0,0,80100,8,2,0,2,,1,111,,100,102,1,8,0,95,BRWhite,1,1,2,2,,
1988-069,1988-069-01,1988-069-01-01,1988-069-01-01-01-04,4/3/1989,1,490 U.S. 66,109 S. Ct. 1617,104 L. Ed. 2d 58,1989 U.S. LEXIS 1738,1988,1603,Rehnquist,87-453,"AMERADA HESS CORP. et al. v. DIRECTOR, DIVISION OF TAXATION, NEW JERSEY DEPARTMENT OF THE TREASURY",11/29/1988,,198,,7,35,2,117,35,0,302,35,300,35,0,1,3,2,1,2,0,0,0,0,80100,8,2,0,2,,1,111,,100,102,1,8,0,100,HABlackmun,1,2,2,2,,
1988-069,1988-069-01,1988-069-01-01,1988-069-01-01-01-05,4/3/1989,1,490 U.S. 66,109 S. Ct. 1617,104 L. Ed. 2d 58,1989 U.S. LEXIS 1738,1988,1603,Rehnquist,87-453,"AMERADA HESS CORP. et al. v. DIRECTOR, DIVISION OF TAXATION, NEW JERSEY DEPARTMENT OF THE TREASURY",11/29/1988,,198,,7,35,2,117,35,0,302,35,300,35,0,1,3,2,1,2,0,0,0,0,80100,8,2,0,2,,1,111,,100,102,1,8,0,102,WHRehnquist,1,1,2,2,,
