listName,citation,year,Categories - Zoë,Categories - Chloe,Categories - Keith,finalCategories,Notes,tribesInvolved,
Fletcher v. Peck,10 U.S. 87,1810,"Indian Title/Occupancy, Land/allotment/grants of land, U.S. Constitution, Doctrine of Discovery, Domestic Dependent Nations","Indian Title/Occupancy, Sale of tribal land","Doctrine of Discovery, Domestic Dependent Nations, Indian Title/Occupancy","Indian Title/Occupancy, Doctrine of Discovery, Domestic Dependent Nations, Land/allotment/grants of land, U.S. Constitution",categories to review = U.S. Const & land; I have reviewed and agree with the two additional categories,,
Megis v. McClung's Lessee,13 U.S. 11,1815,"Land/allotment/grants of land, Treaties","Land/allotment/grants of land, Treaties, Indian Title/Occupancy","Indian Title/Occupancy, Treaties","Treaties, Indian Title/Occupancy, Land/allotment/grants of land",,,
Preston v. Browder,14 U.S. 115,1816,"Land/allotment/grants of land, States/Authority of states, Treaties, Indian Title/Occupancy","Land/allotment/grants of land, States/Authority of states","Indian Title/Occupancy, Treaties, States/Authority of states","States/Authority of states, Indian Title/Occupancy, Treaties, Land/allotment/grants of land","the only category to review is land; OK, you talked me into it.",,
Danforth's Lessee v. Thomas,14 U.S. 155,1816,"Land/allotment/grants of land, States/Authority of states","Land/allotment/grants of land, Indian Title/Occupancy, States/Authority of states","Indian Title/Occupancy, States/Authority of states","States/Authority of states, Land/allotment/grants of land, Indian Title/Occupancy",,,
McIver v. Ragan,15 U.S. 25,1817,"Land/allotment/grants of land, Reservation boundaries","Land/allotment/grants of land, Reservation boundaries",Land/allotment/grants of land,Land/allotment/grants of land,,,
Johnson v. McIntosh,21 U.S. 543,1823,"Doctrine of Discovery, Indian Title/Occupancy, Land/allotment/grants of land, International law, Canons of Construction, Treaties","U.S. Constitution, Indian Title/Occupancy, Plenary Power, Domestic Dependent Nations, Doctrine of Discovery, Land/allotment/grants of land","Canons of Construction, Doctrine of Discovery, Indian Title/Occupancy, International law, Treaties","Canons of Construction, Doctrine of Discovery, Indian Title/Occupancy, International law, Treaties, Domestic Dependent Nations, Wardship/Trust","I saw some language in there that led me to putting both DDN and trust as categories, but I can't find land, Const., or PP. I think this is one situation where if we put it in the ""land"" category - which was supposed to be more of a catchall that our other land categories didn't capture, we run the risk of making it too big to be useful.",,
Danforth v. Wear,22 U.S. 673,1824,"Land/allotment/grants of land, States/Authority of states, Indian Title/Occupancy","States/Authority of states, Reservation boundaries, Land/allotment/grants of land","Indian Title/Occupancy, States/Authority of states","States/Authority of states, Indian Title/Occupancy, Land/allotment/grants of land",categories to look at = land & indian country; I am not convinced that we need to add these categories,,
Patterson v. Jenks,27 U.S. 216,1829,"Reservation boundaries, Treaties, Land/allotment/grants of land","Reservation boundaries, Sale of tribal land, Land/allotment/grants of land, States/Authority of states","Land/allotment/grants of land, States/Authority of states, Treaties","Land/allotment/grants of land, States/Authority of states, Treaties",,,
American Fur. Co. v. U.S.,27 U.S. 358,1829,"Indian Agents/Administrative law, Indian Country, Liquor","Indian Country, Liquor, Indian Agents/Administrative law","Liquor, New Category Needed","Liquor, Indian Country, Indian Agents/Administrative law",I am OK with these final categories,,
Cherokee Nation v. GA,30 U.S. 1,1831,"Commerce Clause, U.S. Constitution, Domestic Dependent Nations, Indian Title/Occupancy, States/Authority of states, International law, Wardship/Trust","U.S. Constitution, Domestic Dependent Nations, States/Authority of states, International law, Indian Title/Occupancy","Commerce Clause, Domestic Dependent Nations, Wardship/Trust, U.S. Constitution, International law","Commerce Clause, Domestic Dependent Nations, Wardship/Trust, U.S. Constitution, International law, Indian Title/Occupancy, States/Authority of states",I am OK with adding Indian Title and States,,
