caseId,docketId,caseIssuesId,voteId,dateDecision,decisionType,usCite,sctCite,ledCite,lexisCite,term,naturalCourt,chief,docket,caseName,dateArgument,dateRearg,petitioner,petitionerState,respondent,respondentState,jurisdiction,adminAction,adminActionState,threeJudgeFdc,caseOrigin,caseOriginState,caseSource,caseSourceState,lcDisagreement,certReason,lcDisposition,lcDispositionDirection,declarationUncon,caseDisposition,caseDispositionUnusual,partyWinning,precedentAlteration,voteUnclear,issue,issueArea,decisionDirection,decisionDirectionDissent,authorityDecision1,authorityDecision2,lawType,lawSupp,lawMinor,majOpinWriter,majOpinAssigner,splitVote,majVotes,minVotes,justice,justiceName,vote,opinion,direction,majority,firstAgreement,secondAgreement
1946-004,1946-004-01,1946-004-01-01,1946-004-01-01-01-01,11/25/1946,7,329 U.S. 40,67 S. Ct. 167,91 L. Ed. 29,1946 U.S. LEXIS 1696,1946,1301,Vinson,26,UNITED STATES v. ALCEA BAND OF TILLAMOOKS ET AL.,1/31/1946,10/25/1946,27,,170,,1,67,,0,3,,3,,0,10,,2,1,2,0,0,0,0,20150,2,2,0,4,,6,600,49 Stat. 801,87,87,1,5,3,86,HHBurton,2,1,1,1,79,
1946-004,1946-004-01,1946-004-01-01,1946-004-01-01-01-02,11/25/1946,7,329 U.S. 40,67 S. Ct. 167,91 L. Ed. 29,1946 U.S. LEXIS 1696,1946,1301,Vinson,26,UNITED STATES v. ALCEA BAND OF TILLAMOOKS ET AL.,1/31/1946,10/25/1946,27,,170,,1,67,,0,3,,3,,0,10,,2,1,2,0,0,0,0,20150,2,2,0,4,,6,600,49 Stat. 801,87,87,1,5,3,84,RHJackson,,,,,,
1946-004,1946-004-01,1946-004-01-01,1946-004-01-01-01-03,11/25/1946,7,329 U.S. 40,67 S. Ct. 167,91 L. Ed. 29,1946 U.S. LEXIS 1696,1946,1301,Vinson,26,UNITED STATES v. ALCEA BAND OF TILLAMOOKS ET AL.,1/31/1946,10/25/1946,27,,170,,1,67,,0,3,,3,,0,10,,2,1,2,0,0,0,0,20150,2,2,0,4,,6,600,49 Stat. 801,87,87,1,5,3,81,WODouglas,1,1,2,2,,
1946-004,1946-004-01,1946-004-01-01,1946-004-01-01-01-04,11/25/1946,7,329 U.S. 40,67 S. Ct. 167,91 L. Ed. 29,1946 U.S. LEXIS 1696,1946,1301,Vinson,26,UNITED STATES v. ALCEA BAND OF TILLAMOOKS ET AL.,1/31/1946,10/25/1946,27,,170,,1,67,,0,3,,3,,0,10,,2,1,2,0,0,0,0,20150,2,2,0,4,,6,600,49 Stat. 801,87,87,1,5,3,80,FFrankfurter,1,1,2,2,,
1946-004,1946-004-01,1946-004-01-01,1946-004-01-01-01-05,11/25/1946,7,329 U.S. 40,67 S. Ct. 167,91 L. Ed. 29,1946 U.S. LEXIS 1696,1946,1301,Vinson,26,UNITED STATES v. ALCEA BAND OF TILLAMOOKS ET AL.,1/31/1946,10/25/1946,27,,170,,1,67,,0,3,,3,,0,10,,2,1,2,0,0,0,0,20150,2,2,0,4,,6,600,49 Stat. 801,87,87,1,5,3,79,SFReed,2,2,1,1,,
1946-004,1946-004-01,1946-004-01-01,1946-004-01-01-01-06,11/25/1946,7,329 U.S. 40,67 S. Ct. 167,91 L. Ed. 29,1946 U.S. LEXIS 1696,1946,1301,Vinson,26,UNITED STATES v. ALCEA BAND OF TILLAMOOKS ET AL.,1/31/1946,10/25/1946,27,,170,,1,67,,0,3,,3,,0,10,,2,1,2,0,0,0,0,20150,2,2,0,4,,6,600,49 Stat. 801,87,87,1,5,3,78,HLBlack,4,2,2,2,,
1946-004,1946-004-01,1946-004-01-01,1946-004-01-01-01-07,11/25/1946,7,329 U.S. 40,67 S. Ct. 167,91 L. Ed. 29,1946 U.S. LEXIS 1696,1946,1301,Vinson,26,UNITED STATES v. ALCEA BAND OF TILLAMOOKS ET AL.,1/31/1946,10/25/1946,27,,170,,1,67,,0,3,,3,,0,10,,2,1,2,0,0,0,0,20150,2,2,0,4,,6,600,49 Stat. 801,87,87,1,5,3,85,WBRutledge,2,1,1,1,79,
1946-004,1946-004-01,1946-004-01-01,1946-004-01-01-01-08,11/25/1946,7,329 U.S. 40,67 S. Ct. 167,91 L. Ed. 29,1946 U.S. LEXIS 1696,1946,1301,Vinson,26,UNITED STATES v. ALCEA BAND OF TILLAMOOKS ET AL.,1/31/1946,10/25/1946,27,,170,,1,67,,0,3,,3,,0,10,,2,1,2,0,0,0,0,20150,2,2,0,4,,6,600,49 Stat. 801,87,87,1,5,3,82,FMurphy,1,1,2,2,,
1946-004,1946-004-01,1946-004-01-01,1946-004-01-01-01-09,11/25/1946,7,329 U.S. 40,67 S. Ct. 167,91 L. Ed. 29,1946 U.S. LEXIS 1696,1946,1301,Vinson,26,UNITED STATES v. ALCEA BAND OF TILLAMOOKS ET AL.,1/31/1946,10/25/1946,27,,170,,1,67,,0,3,,3,,0,10,,2,1,2,0,0,0,0,20150,2,2,0,4,,6,600,49 Stat. 801,87,87,1,5,3,87,FMVinson,5,2,2,2,,
1946-054,1946-054-01,1946-054-01-01,1946-054-01-01-01-01,2/17/1947,1,330 U.S. 169,67 S. Ct. 650,91 L. Ed. 823,1947 U.S. LEXIS 2648,1946,1301,Vinson,141,CONFEDERATED BANDS OF UTE INDIANS v. UNITED STATES,1/14/1947,,170,,27,,1,,,0,3,,3,,0,12,,1,1,2,0,0,0,0,20150,2,1,0,4,,5,511,,78,87,1,6,3,86,HHBurton,1,1,1,2,,
