Case Name,Citation,Year,opinionID,Final Categories,Tribes Involved,usCite,caseName,caseId,docketId,voteId,term,dateDecision,dateArgument,dateRearg,petitioner,petitionerState,respondent,respondentState,precedentAlteration,caseOrigin,caseOriginState,caseSource,caseSourceState,certReason,decisionType,issue,lawSupp,lawType,partyWinning,voteUnclear,splitVote,majVotes,minVotes,url,subopinion_urls,docket_url,cited_cases,audio_files,brief_results
Fletcher v. Peck,10 U.S. 87,1810,,"Indian Title/Occupancy, Doctrine of Discovery, Domestic Dependent Nations, Land/allotment/grants of land, U.S. Constitution",,10 U.S. 87,FLETCHER v. PECK,1810-027,1810-027-01,1810-027-01-01-01,1810,3/16/1810,3/1/1809,2/15/1810,123,,233,,0,418,,418,,1,1,80110,128,1,0,0,1,4,1,https://www.courtlistener.com/opinion/84935/fletcher-v-peck/,['https://www.courtlistener.com/api/rest/v4/opinions/84935/'],https://www.courtlistener.com/api/rest/v4/dockets/179149/,[],[],[]
Megis v. McClung's Lessee,13 U.S. 11,1815,,"Treaties, Indian Title/Occupancy, Land/allotment/grants of land",,13 U.S. 11,MEIGS AND AL v. M'CLUNG'S LESSEE,1815-002,1815-002-01,1815-002-01-01-01,1815,2/13/1815,2/11/1815,,19,60,241,,0,433,,433,,1,1,140010,509,5,0,0,1,5,0,https://www.courtlistener.com/opinion/85090/meigs-and-al-v-mclungs-lessee/,['https://www.courtlistener.com/api/rest/v4/opinions/85090/'],https://www.courtlistener.com/api/rest/v4/dockets/260789/,[],[],[]
Preston v. Browder,14 U.S. 115,1816,,"States/Authority of states, Indian Title/Occupancy, Treaties, Land/allotment/grants of land",,14 U.S. 115,PRESTON v. BROWDER,1816-014,1816-014-01,1816-014-01-01-01,1816,3/4/1816,2/14/1816,,195,,195,,0,433,,433,,1,1,80105,800,8,0,0,1,7,0,https://www.courtlistener.com/opinion/85141/preston-v-browder/,['https://www.courtlistener.com/api/rest/v4/opinions/85141/'],https://www.courtlistener.com/api/rest/v4/dockets/402429/,['10 U.S. 87'],[],[]
Danforth's Lessee v. Thomas,14 U.S. 155,1816,,"States/Authority of states, Land/allotment/grants of land, Indian Title/Occupancy",,14 U.S. 155,DANFORTH'S LESSEE v. THOMAS,1816-021,1816-021-01,1816-021-01-01-01,1816,3/8/1816,2/26/1816,,195,,195,,0,433,,433,,1,1,80105,800,8,0,0,1,7,0,https://www.courtlistener.com/opinion/85146/danforths-lessee-v-thomas/,['https://www.courtlistener.com/api/rest/v4/opinions/85146/'],https://www.courtlistener.com/api/rest/v4/dockets/271565/,[],[],[]
McIver v. Ragan,15 U.S. 25,1817,,Land/allotment/grants of land,,15 U.S. 25,"M'IVER et al., LESSEES, v. RAGAN et al.",1817-002,1817-002-01,1817-002-01-01-01,1817,2/10/1817,2/5/1817,,195,,195,,0,433,,433,,1,1,140010,900,9,0,0,1,7,0,https://www.courtlistener.com/opinion/85174/miver-lessees-v-ragan/,['https://www.courtlistener.com/api/rest/v4/opinions/85174/'],https://www.courtlistener.com/api/rest/v4/dockets/214389/,[],[],[]
Johnson v. McIntosh,21 U.S. 543,1823,,"Canons of Construction, Doctrine of Discovery, Indian Title/Occupancy, International law, Treaties, Domestic Dependent Nations, Wardship/Trust",,21 U.S. 543,JOHNSON AND GRAHAM'S LESSEE v. WILLIAM M'INTOSH,1823-013,1823-013-01,1823-013-01-01-01,1823,2/28/1823,2/15/1823,,195,,195,,0,165,,165,,1,1,20150,900,9,0,0,1,5,0,https://www.courtlistener.com/opinion/85404/johnson-grahams-lessee-v-mcintosh/,['https://www.courtlistener.com/api/rest/v4/opinions/85404/'],https://www.courtlistener.com/api/rest/v4/dockets/539308/,[],[],[]
Danforth v. Wear,22 U.S. 673,1824,,"States/Authority of states, Indian Title/Occupancy, Land/allotment/grants of land",,22 U.S. 673,DANFORTH v. WEAR,1824-019,1824-019-01,1824-019-01-01-01,1824,3/6/1824,2/28/1824,,195,,195,,0,433,,433,,1,1,140010,800,8,1,0,1,6,0,https://www.courtlistener.com/opinion/85448/danforth-v-wear/,['https://www.courtlistener.com/api/rest/v4/opinions/85448/'],https://www.courtlistener.com/api/rest/v4/dockets/214284/,"['14 U.S. 155', '14 U.S. 115']",[],[]
Patterson v. Jenks,27 U.S. 216,1829,,"Land/allotment/grants of land, States/Authority of states, Treaties",,27 U.S. 216,"WILLIAM PATTERSON, PLAINTIFF IN ERROR VS. THE REv. WILLIS JENKS et al. DEFENDANTS IN ERROR",1829-014,1829-014-01,1829-014-01-01-01,1829,2/13/1829,1/31/1829,2/7/1829,195,,195,,0,409,,409,,1,1,20160,509,5,1,0,1,6,0,https://www.courtlistener.com/opinion/85627/patterson-v-jenks/,['https://www.courtlistener.com/api/rest/v4/opinions/85627/'],https://www.courtlistener.com/api/rest/v4/dockets/401961/,"['22 U.S. 673', '13 U.S. 87']",[],[]
American Fur. Co. v. United States,27 U.S. 358,1829,,"Liquor, Indian Country, Indian Agents/Administrative law",,27 U.S. 358,"SUNDRY GOODS, WARES AND MERCHANDISES, THE AMERICAN FUR COMPANY, CLAIMANTS, PLAINTIFFS IN ERROR VS. THE UNITED STATES, DEFENDANTS IN ERROR",1829-032,1829-032-01,1829-032-01-01-01,1829,3/11/1829,3/3/1829,,122,,27,,0,166,,166,,1,1,10220,600,6,1,0,1,6,0,https://www.courtlistener.com/opinion/85637/sundry-goods-wares-merchandises-v-united-states/,['https://www.courtlistener.com/api/rest/v4/opinions/85637/'],https://www.courtlistener.com/api/rest/v4/dockets/431543/,"['18 U.S. 54', '25 U.S. 460']",[],[]
Cherokee Nation v. GA,30 U.S. 1,1831,,"Commerce Clause, Domestic Dependent Nations, Wardship/Trust, U.S. Constitution, International law, Indian Title/Occupancy, States/Authority of states",,30 U.S. 1,THE CHEROKEE NATION VS. THE STATE OF GEORGIA,1831-041,1831-041-01,1831-041-01-01-01,1831,3/18/1831,3/12/1831,,170,,28,13,0,,,,,1,1,20160,509,5,0,0,1,4,2,https://www.courtlistener.com/opinion/85715/cherokee-nation-v-state-of-georgia/,"['https://www.courtlistener.com/api/rest/v4/opinions/9416318/', 'https://www.courtlistener.com/api/rest/v4/opinions/9416319/', 'https://www.courtlistener.com/api/rest/v4/opinions/85715/']",https://www.courtlistener.com/api/rest/v4/dockets/441837/,"['16 U.S. 610', '21 U.S. 543', '13 U.S. 11', '27 U.S. 586', '19 U.S. 193', '30 U.S. 1', '10 U.S. 148', '15 U.S. 259', '22 U.S. 738', '8 U.S. 241', '17 U.S. 64', '19 U.S. 264', '17 U.S. 159', '10 U.S. 87', '27 U.S. 253']",[],[]
